8,-2,N/VvHOu+naZLyTWEdbxOjqXhqPo=,mM37hepGYdTg5iH3ht2dan1s0jo=
8,-3,N/VvHOu+naZLyTWEdbxOjqXhqPo=,62Jojko8vJaouqzr28Y+MpnHZNw=
7,-3,N/VvHOu+naZLyTWEdbxOjqXhqPo=,R5FOzeL/4l2YjLN4RDnKLyYB38I=
7,-2,N/VvHOu+naZLyTWEdbxOjqXhqPo=,pjiqyTxy4TYzxRqgQJgjKxa3iNM=
5,-2,r7qRuiQmeVCbhOoXOv/iecbZZwc=,tjje53bUsUg5ZV0pscaumGaOxb8=
3,-3,r7qRuiQmeVCbhOoXOv/iecbZZwc=,eLUINVgzkxdYDWCNxlOfVhQe8UA=
6,-2,r7qRuiQmeVCbhOoXOv/iecbZZwc=,pjiqyTxy4TYzxRqgQJgjKxa3iNM=
6,-3,r7qRuiQmeVCbhOoXOv/iecbZZwc=,R5FOzeL/4l2YjLN4RDnKLyYB38I=
3,-2,r7qRuiQmeVCbhOoXOv/iecbZZwc=,EMMLd+ushEXGzOfsilKeqg61T24=
4,-3,r7qRuiQmeVCbhOoXOv/iecbZZwc=,3KL6GK+K7m0tD8FzZyyqPrXPhD4=
5,-3,r7qRuiQmeVCbhOoXOv/iecbZZwc=,3KL6GK+K7m0tD8FzZyyqPrXPhD4=
4,-2,r7qRuiQmeVCbhOoXOv/iecbZZwc=,tjje53bUsUg5ZV0pscaumGaOxb8=
4,-1,r7qRuiQmeVCbhOoXOv/iecbZZwc=,tjje53bUsUg5ZV0pscaumGaOxb8=
3,-1,r7qRuiQmeVCbhOoXOv/iecbZZwc=,EMMLd+ushEXGzOfsilKeqg61T24=
7,-4,r7qRuiQmeVCbhOoXOv/iecbZZwc=,R5FOzeL/4l2YjLN4RDnKLyYB38I=
8,-4,r7qRuiQmeVCbhOoXOv/iecbZZwc=,62Jojko8vJaouqzr28Y+MpnHZNw=
9,-2,r7qRuiQmeVCbhOoXOv/iecbZZwc=,mM37hepGYdTg5iH3ht2dan1s0jo=
9,-3,r7qRuiQmeVCbhOoXOv/iecbZZwc=,62Jojko8vJaouqzr28Y+MpnHZNw=
9,-4,r7qRuiQmeVCbhOoXOv/iecbZZwc=,62Jojko8vJaouqzr28Y+MpnHZNw=
6,-1,r7qRuiQmeVCbhOoXOv/iecbZZwc=,pjiqyTxy4TYzxRqgQJgjKxa3iNM=
5,-1,r7qRuiQmeVCbhOoXOv/iecbZZwc=,tjje53bUsUg5ZV0pscaumGaOxb8=
7,-1,r7qRuiQmeVCbhOoXOv/iecbZZwc=,pjiqyTxy4TYzxRqgQJgjKxa3iNM=
8,-1,r7qRuiQmeVCbhOoXOv/iecbZZwc=,mM37hepGYdTg5iH3ht2dan1s0jo=
5,-4,r7qRuiQmeVCbhOoXOv/iecbZZwc=,3KL6GK+K7m0tD8FzZyyqPrXPhD4=
6,-4,r7qRuiQmeVCbhOoXOv/iecbZZwc=,R5FOzeL/4l2YjLN4RDnKLyYB38I=
9,-1,r7qRuiQmeVCbhOoXOv/iecbZZwc=,mM37hepGYdTg5iH3ht2dan1s0jo=
4,-4,r7qRuiQmeVCbhOoXOv/iecbZZwc=,3KL6GK+K7m0tD8FzZyyqPrXPhD4=
3,-4,r7qRuiQmeVCbhOoXOv/iecbZZwc=,eLUINVgzkxdYDWCNxlOfVhQe8UA=
2,-4,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,eLUINVgzkxdYDWCNxlOfVhQe8UA=
1,-4,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,sHVpYyoI8wLEzoSp4mJkUD9Z8Cc=
0,-4,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,sHVpYyoI8wLEzoSp4mJkUD9Z8Cc=
2,-1,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,EMMLd+ushEXGzOfsilKeqg61T24=
2,-3,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,eLUINVgzkxdYDWCNxlOfVhQe8UA=
1,-1,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,2WPX2+0gv0kXO0gTq3IpADaCqxk=
0,-3,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,sHVpYyoI8wLEzoSp4mJkUD9Z8Cc=
2,-2,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,EMMLd+ushEXGzOfsilKeqg61T24=
1,-3,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,sHVpYyoI8wLEzoSp4mJkUD9Z8Cc=
1,-2,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,2WPX2+0gv0kXO0gTq3IpADaCqxk=
0,-2,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,2WPX2+0gv0kXO0gTq3IpADaCqxk=
0,-1,+nMHjAJhF47Z+9nLT/Unw7SbnPA=,2WPX2+0gv0kXO0gTq3IpADaCqxk=
